# IDEA-EQ (14366)  2026-04-17 09:15 -> 2026-04-17 15:15
# Strategy: init=0.1%  long=0.5%  short=10%
# Funds: 110000  Base: 100000
# Prev close: 9.52
  idx                   time       open       high        low      close     %chg    event  target_sell
--------------------------------------------------------------------------------------------------------------
    0 2026-04-17T09:15:00+05:30       9.51       9.52       9.48       9.51   -0.105                      
    1 2026-04-17T09:16:00+05:30       9.51       9.58       9.51       9.55   +0.315  <<BUY>> TP≥9.5977 SL≤8.595
    2 2026-04-17T09:17:00+05:30       9.56       9.58       9.55       9.57   +0.209          TP≥9.5977 SL≤8.595
    3 2026-04-17T09:18:00+05:30       9.58       9.58       9.56       9.57   +0.209          TP≥9.5977 SL≤8.595
    4 2026-04-17T09:19:00+05:30       9.57       9.57       9.55       9.57   +0.209          TP≥9.5977 SL≤8.595
    5 2026-04-17T09:20:00+05:30       9.57       9.57       9.56       9.57   +0.209          TP≥9.5977 SL≤8.595
    6 2026-04-17T09:21:00+05:30       9.56       9.57       9.56       9.56   +0.105          TP≥9.5977 SL≤8.595
    7 2026-04-17T09:22:00+05:30       9.56       9.60       9.56       9.60   +0.524 <<SELL>>             
    8 2026-04-17T09:23:00+05:30       9.59       9.65       9.59       9.64   +0.417  <<BUY>> TP≥9.6882 SL≤8.676
    9 2026-04-17T09:24:00+05:30       9.63       9.66       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676
   10 2026-04-17T09:25:00+05:30       9.61       9.62       9.60       9.62   -0.207          TP≥9.6882 SL≤8.676
   11 2026-04-17T09:26:00+05:30       9.61       9.62       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
   12 2026-04-17T09:27:00+05:30       9.61       9.62       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
   13 2026-04-17T09:28:00+05:30       9.60       9.63       9.60       9.63   -0.104          TP≥9.6882 SL≤8.676
   14 2026-04-17T09:29:00+05:30       9.63       9.65       9.60       9.64   +0.000          TP≥9.6882 SL≤8.676
   15 2026-04-17T09:30:00+05:30       9.64       9.64       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676
   16 2026-04-17T09:31:00+05:30       9.62       9.66       9.61       9.65   +0.104          TP≥9.6882 SL≤8.676
   17 2026-04-17T09:32:00+05:30       9.65       9.66       9.64       9.64   +0.000          TP≥9.6882 SL≤8.676
   18 2026-04-17T09:33:00+05:30       9.64       9.67       9.62       9.66   +0.207          TP≥9.6882 SL≤8.676
   19 2026-04-17T09:34:00+05:30       9.66       9.68       9.63       9.63   -0.104          TP≥9.6882 SL≤8.676
   20 2026-04-17T09:35:00+05:30       9.64       9.66       9.61       9.63   -0.104          TP≥9.6882 SL≤8.676
   21 2026-04-17T09:36:00+05:30       9.63       9.64       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
   22 2026-04-17T09:37:00+05:30       9.63       9.64       9.60       9.60   -0.415          TP≥9.6882 SL≤8.676
   23 2026-04-17T09:38:00+05:30       9.60       9.63       9.60       9.62   -0.207          TP≥9.6882 SL≤8.676
   24 2026-04-17T09:39:00+05:30       9.63       9.64       9.62       9.64   +0.000          TP≥9.6882 SL≤8.676
   25 2026-04-17T09:40:00+05:30       9.63       9.65       9.63       9.63   -0.104          TP≥9.6882 SL≤8.676
   26 2026-04-17T09:41:00+05:30       9.64       9.64       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   27 2026-04-17T09:42:00+05:30       9.64       9.66       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
   28 2026-04-17T09:43:00+05:30       9.64       9.64       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
   29 2026-04-17T09:44:00+05:30       9.63       9.64       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
   30 2026-04-17T09:45:00+05:30       9.61       9.62       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
   31 2026-04-17T09:46:00+05:30       9.62       9.62       9.61       9.61   -0.311          TP≥9.6882 SL≤8.676
   32 2026-04-17T09:47:00+05:30       9.62       9.63       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676
   33 2026-04-17T09:48:00+05:30       9.63       9.64       9.62       9.64   +0.000          TP≥9.6882 SL≤8.676
   34 2026-04-17T09:49:00+05:30       9.63       9.65       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   35 2026-04-17T09:50:00+05:30       9.64       9.64       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   36 2026-04-17T09:51:00+05:30       9.64       9.65       9.63       9.65   +0.104          TP≥9.6882 SL≤8.676
   37 2026-04-17T09:52:00+05:30       9.65       9.65       9.64       9.65   +0.104          TP≥9.6882 SL≤8.676
   38 2026-04-17T09:53:00+05:30       9.65       9.65       9.64       9.65   +0.104          TP≥9.6882 SL≤8.676
